Name,Regional,geometry
C01018,CENTRO-SUL,POINT Z (-43.9353199012347 -19.91739451324039 0)
C01019,CENTRO-SUL,POINT Z (-43.94348690891827 -19.91669679262545 0)
C01020,CENTRO-SUL,POINT Z (-43.94259164706948 -19.916780781572 0)
C01021,CENTRO-SUL,POINT Z (-43.94171864179538 -19.91700536381014 0)
C01022,CENTRO-SUL,POINT Z (-43.94078135895744 -19.91721986321319 0)
C01023,CENTRO-SUL,POINT Z (-43.943906 -19.917742 0)
C01024,CENTRO-SUL,POINT Z (-43.942817 -19.918175 0)
C01025,CENTRO-SUL,POINT Z (-43.94116605138393 -19.91854215283084 0)
C01026,CENTRO-SUL,POINT Z (-43.94534561995314 -19.91871412022634 0)
C01027,CENTRO-SUL,POINT Z (-43.9441507998297 -19.91911688739488 0)
C01028,CENTRO-SUL,POINT Z (-43.93950168182722 -19.91771311384894 0)
C01029,CENTRO-SUL,POINT Z (-43.93822340793548 -19.91783881664124 0)
C01030,CENTRO-SUL,POINT Z (-43.93707168495782 -19.91811398226238 0)
C01031,CENTRO-SUL,POINT Z (-43.93999398275069 -19.91875331049805 0)
C01032,CENTRO-SUL,POINT Z (-43.93876611032564 -19.91896956229986 0)
C01033,CENTRO-SUL,POINT Z (-43.93725863054473 -19.91940521420169 0)
C01034,CENTRO-SUL,POINT Z (-43.940169 -19.919967 0)
C01035,CENTRO-SUL,POINT Z (-43.93896427196027 -19.92040570966733 0)
C01036,CENTRO-SUL,POINT Z (-43.937564 -19.920833 0)
C01037,CENTRO-SUL,POINT Z (-43.93524109725083 -19.91857418092967 0)
C01038,CENTRO-SUL,POINT Z (-43.934192 -19.918892 0)
C01039,CENTRO-SUL,POINT Z (-43.93641499778675 -19.9208777828923 0)
C01040,CENTRO-SUL,POINT Z (-43.93794422685639 -19.92181915312174 0)
C01041,CENTRO-SUL,POINT Z (-43.93664404443771 -19.92230572164936 0)
C01042,CENTRO-SUL,POINT Z (-43.93838660154672 -19.9231518491049 0)
C01043,CENTRO-SUL,POINT Z (-43.93864348820154 -19.92432851524897 0)
C01044,CENTRO-SUL,POINT Z (-43.93731973688414 -19.92466725376223 0)
C01045,CENTRO-SUL,POINT Z (-43.93607615167826 -19.92492435762265 0)
C01046,CENTRO-SUL,POINT Z (-43.94238896049325 -19.91943212510238 0)
C01047,CENTRO-SUL,POINT Z (-43.94163919068376 -19.91977324227405 0)
C01048,CENTRO-SUL,POINT Z (-43.94194330867207 -19.92095995632707 0)
C01049,CENTRO-SUL,POINT Z (-43.94064867594792 -19.92115623362942 0)
C01050,CENTRO-SUL,POINT Z (-43.9435227775063 -19.92183421247406 0)
C01051,CENTRO-SUL,POINT Z (-43.93959634337725 -19.9228240064822 0)
C01052,CENTRO-SUL,POINT Z (-43.94254575158033 -19.92349957478636 0)
C01053,CENTRO-SUL,POINT Z (-43.94117954796318 -19.92371429759445 0)
C01054,CENTRO-SUL,POINT Z (-43.9416619822518 -19.92483240629087 0)
C01055,CENTRO-SUL,POINT Z (-43.94706942580536 -19.91964923114632 0)
C01056,CENTRO-SUL,POINT Z (-43.94445728188555 -19.92023371408007 0)
C01057,CENTRO-SUL,POINT Z (-43.946139 -19.921147 0)
C01059,CENTRO-SUL,POINT Z (-43.94894175555652 -19.92182106403536 0)
C01060,CENTRO-SUL,POINT Z (-43.946533 -19.922411 0)
C01061,CENTRO-SUL,POINT Z (-43.94375039238913 -19.92308976854253 0)
C01062,CENTRO-SUL,POINT Z (-43.944747 -19.923397 0)
C01063,CENTRO-SUL,POINT Z (-43.94674001279953 -19.92363529384352 0)
C01064,CENTRO-SUL,POINT Z (-43.942206 -19.927464 0)
C01065,CENTRO-SUL,POINT Z (-43.94008239986433 -19.9343907542993 0)
C01066,CENTRO-SUL,POINT Z (-43.9388664442927 -19.93302082645423 0)
C01067,CENTRO-SUL,POINT Z (-43.93525194575533 -19.93701900135809 0)
C01068,CENTRO-SUL,POINT Z (-43.93819695026609 -19.93743552358981 0)
C01069,CENTRO-SUL,POINT Z (-43.9367761471301 -19.93786775082657 0)
C01070,CENTRO-SUL,POINT Z (-43.935633 -19.938036 0)
C01071,CENTRO-SUL,POINT Z (-43.93422452166016 -19.93852207767013 0)
C01072,CENTRO-SUL,POINT Z (-43.934556 -19.939764 0)
C01073,CENTRO-SUL,POINT Z (-43.93943109128726 -19.93193288262449 0)
C01074,CENTRO-SUL,POINT Z (-43.93912038470648 -19.93080256395309 0)
C01075,CENTRO-SUL,POINT Z (-43.93782238287686 -19.93324923703927 0)
C01076,CENTRO-SUL,POINT Z (-43.93775580147337 -19.93103228783344 0)
C01077,CENTRO-SUL,POINT Z (-43.93844872083306 -19.93144433884386 0)
C01078,CENTRO-SUL,POINT Z (-43.93753476039436 -19.93203740096804 0)
C01079,CENTRO-SUL,POINT Z (-43.93481031445666 -19.91732541083769 0)
C01080,CENTRO-SUL,POINT Z (-43.93376118923712 -19.91765177672218 0)
C01081,CENTRO-SUL,POINT Z (-43.9340606578607 -19.9160956662434 0)
C01083,CENTRO-SUL,POINT Z (-43.93849531259826 -19.91925651666099 0)
C01084,CENTRO-SUL,POINT Z (-43.93812824826234 -19.91387302150329 0)
C01085,CENTRO-SUL,POINT Z (-43.93476658172194 -19.920250640674 0)
C01087,CENTRO-SUL,POINT Z (-43.9572121661352 -19.92639276429634 0)
C01088,CENTRO-SUL,POINT Z (-43.95613751067288 -19.92795462260449 0)
C01089,CENTRO-SUL,POINT Z (-43.95155399123574 -19.92119667964627 0)
C01090,CENTRO-SUL,POINT Z (-43.95218510550805 -19.91848055503036 0)
C01091,CENTRO-SUL,POINT Z (-43.95409811285826 -19.92042852132546 0)
C01092,CENTRO-SUL,POINT Z (-43.95650116047037 -19.91887301609726 0)
C01093,CENTRO-SUL,POINT Z (-43.93257331766789 -19.92715921751177 0)
C01094,CENTRO-SUL,POINT Z (-43.92862435028321 -19.92807933374865 0)
C01095,CENTRO-SUL,POINT Z (-43.92545694620507 -19.92617569594147 0)
C01097,CENTRO-SUL,POINT Z (-43.92578913210924 -19.93257814404445 0)
C01098,CENTRO-SUL,POINT Z (-43.92808029143785 -19.93078028356416 0)
C01099,CENTRO-SUL,POINT Z (-43.93176145207805 -19.92980568941959 0)
C01100,CENTRO-SUL,POINT Z (-43.92910922387203 -19.93442413508086 0)
C01101 (C22901),OESTE,POINT Z (-43.95733560073906 -19.92948648659619 0)
C01102,CENTRO-SUL,POINT Z (-43.95171222530857 -19.92628314188534 0)
C01103,CENTRO-SUL,POINT Z (-43.94636310479116 -19.92767220833655 0)
C01104,CENTRO-SUL,POINT Z (-43.95060555053882 -19.92785565737487 0)
C01105,CENTRO-SUL,POINT Z (-43.95288135594554 -19.93122697267347 0)
C01106,CENTRO-SUL,POINT Z (-43.94935463181073 -19.93221918436922 0)
C01107,LESTE,POINT Z (-43.92242263515233 -19.92053183528294 0)
C01108,LESTE,POINT Z (-43.9214151124223 -19.92202594615845 0)
C01109 (C22902),LESTE,POINT Z (-43.91888207293331 -19.92258590625068 0)
C01110,CENTRO-SUL,POINT Z (-43.92207217154805 -19.92441566708805 0)
C01111,CENTRO-SUL,POINT Z (-43.92598170698736 -19.9235153322179 0)
C01112,CENTRO-SUL,POINT Z (-43.92558960860984 -19.9222517377682 0)
C01113 (C22903),LESTE,POINT Z (-43.92401152093282 -19.92120864258094 0)
C01114,CENTRO-SUL,POINT Z (-43.94777491191429 -19.91809561263275 0)
C01115,CENTRO-SUL,POINT Z (-43.95002835940644 -19.92019516868296 0)
C01118,CENTRO-SUL,POINT Z (-43.94644959645554 -19.91773773924717 0)
C01117,CENTRO-SUL,POINT Z (-43.9451861001035 -19.91757615514552 0)
