origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
CLARO;2024-04-11 06:30:00;ABRIL/2024;02/2024;RUA DELTA 155, CAICARAS;NOROESTE;2024;POINT (-43.95354479 -19.87611559);2
CLARO;2024-04-11 06:30:00;ABRIL/2024;02/2024;RUA DELTA 155, CAICARAS;NOROESTE;2024;POINT (-43.9255006 -19.9479882);2
SGO;2024-04-11 06:37:00;ABRIL/2024;02/2024;AVENIDA DOS ANDRADAS 4100, ESPLANADA;LESTE;2024;POINT (-43.9357695 -19.87896311);2
SGO;2024-04-11 09:15:00;ABRIL/2024;02/2024;AVENIDA AFONSO PENA 469, CENTRO;CENTRO-SUL;2024;POINT (-43.90430947 -19.90752476);2
OI;2024-04-11 11:06:34;ABRIL/2024;02/2024;AVENIDA NOSSA SENHORA DE FATIMA 1320, NOSSA SENHORA DE FATIMA;CENTRO-SUL;2024;POINT (-43.98244809 -19.84627169);2
OI;2024-04-11 11:06:34;ABRIL/2024;02/2024;AVENIDA NOSSA SENHORA DE FATIMA 1320, NOSSA SENHORA DE FATIMA;CENTRO-SUL;2024;POINT (-43.9400221 -19.9272522);2
OI;2024-04-11 17:07:03;ABRIL/2024;02/2024;RUA ALVORADA 10, CONJUNTO TAQUARIL;LESTE;2024;POINT (-43.9352756 -19.9472195);2
OI;2024-04-11 17:07:03;ABRIL/2024;02/2024;RUA ALVORADA 10, CONJUNTO TAQUARIL;LESTE;2024;POINT (-43.95354479 -19.87611559);2
CLARO;2024-04-12 01:30:00;ABRIL/2024;02/2024;AVENIDA WALDOMIRO LOBO 295, GUARANI;NORTE;2024;POINT (-43.9400221 -19.9272522);2
CLARO;2024-04-12 01:30:00;ABRIL/2024;02/2024;AVENIDA WALDOMIRO LOBO 295, GUARANI;NORTE;2024;POINT (-43.95193684 -19.86640495);2
CLARO;2024-04-12 07:01:00;ABRIL/2024;02/2024;RUA JACSON PASSOS 87, GOIANIA;NORDESTE;2024;POINT (-43.9352756 -19.9472195);2
CLARO;2024-04-12 07:01:00;ABRIL/2024;02/2024;RUA JACSON PASSOS 87, GOIANIA;NORDESTE;2024;POINT (-43.95193684 -19.86640495);2
OI;2024-04-12 08:08:21;ABRIL/2024;02/2024;RUA ALVORADA 10, CONJUNTO TAQUARIL;LESTE;2024;POINT (-43.9255006 -19.9479882);2
OI;2024-04-12 08:08:21;ABRIL/2024;02/2024;RUA ALVORADA 10, CONJUNTO TAQUARIL;LESTE;2024;POINT (-43.95229858 -19.87922449);2
CLARO;2024-04-13 01:20:00;ABRIL/2024;02/2024;RUA IMPERIO 790, EYMARD;NORDESTE;2024;POINT (-43.908461 -19.9086744);2
CLARO;2024-04-13 01:20:00;ABRIL/2024;02/2024;RUA IMPERIO 790, EYMARD;NORDESTE;2024;POINT (-43.95229858 -19.87922449);2
CLARO;2024-04-13 03:29:00;ABRIL/2024;02/2024;RUA CASCAVEL 42B, MINAS BRASIL;NOROESTE;2024;POINT (-43.9191866 -19.9070315);2
CLARO;2024-04-13 03:29:00;ABRIL/2024;02/2024;RUA CASCAVEL 42B, MINAS BRASIL;NOROESTE;2024;POINT (-43.95736117 -19.89079369);2
CLARO;2024-04-13 06:25:00;ABRIL/2024;02/2024;RUA FERREIRA DOS SANTOS 635, PIRAJA;NORDESTE;2024;POINT (-43.95736117 -19.89079369);2
CLARO;2024-04-13 06:25:00;ABRIL/2024;02/2024;RUA FERREIRA DOS SANTOS 635, PIRAJA;NORDESTE;2024;POINT (-43.9191866 -19.9070315);2
CLARO;2024-04-13 18:22:00;ABRIL/2024;02/2024;RUA IMPERIO 800, EYMARD;NORDESTE;2024;POINT (-44.00616101 -19.98876832);2
CLARO;2024-04-13 18:22:00;ABRIL/2024;02/2024;RUA IMPERIO 800, EYMARD;NORDESTE;2024;POINT (-43.963723 -19.8155662);2
CLARO;2024-04-14 19:31:00;ABRIL/2024;02/2024;RUA SENHORA DA CONCEICAO 1840, CACHOEIRINHA;NORDESTE;2024;POINT (-43.963723 -19.8155662);2
CLARO;2024-04-14 19:31:00;ABRIL/2024;02/2024;RUA SENHORA DA CONCEICAO 1840, CACHOEIRINHA;NORDESTE;2024;POINT (-44.00616101 -19.98876832);2
CLARO;2024-04-14 22:22:00;ABRIL/2024;02/2024;RUA DAS OFICINAS 179, ESPLANADA;LESTE;2024;POINT (-43.94589292 -19.88033683);2
CLARO;2024-04-14 22:22:00;ABRIL/2024;02/2024;RUA DAS OFICINAS 179, ESPLANADA;LESTE;2024;POINT (-43.9638425 -19.8539408);2
